Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
2004,2,Estratovolcán,Historical,False,False,Tengger Caldera (Java)
2007,,Estratovolcán,Historical,False,False,Huila (Colombia)
2008,,Caldera,Holocene,False,False,Chaiten (Chile-S)
2008,3,Estratovolcán,Historical,True,False,Kasatochi (Aleutian Is)
2017,,Estratovolcán,Historical,False,False,Merapi (Java)
-1610,7,Volcán en escudo,Historical,True,True,Santorini (Greece)
-150,,Volcán complejo,Historical,False,False,St. Andrew Strait (Admiralty Is-SW Paci)
-100,6,Volcán en escudo,Historical,False,False,Okmok (Aleutian Is)
1341,3,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1430,,Caldera,Historical,False,False,Kuwae (Vanuatu-SW Pacific)
1510,4,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1580,6,Escudo piroclástico,Radiocarbon,False,False,Billy Mitchell (Bougainville-SW Paci)
1698,3,Estratovolcán,Historical,False,False,Cereme (Java)
1716,4,Estratovolcán,Historical,True,True,Taal (Luzon-Philippines)
1717,3,Estratovolcán,Historical,False,False,Fuego (Guatemala)
1721,5,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1819,,Estratovolcán,Historical,True,False,Asuncion (Mariana Is-C Pacific)
1845,3,Estratovolcán,Historical,False,False,Ruiz (Colombia)
1895,2,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1901,,Estratovolcán,Historical,True,True,Epi (Vanuatu-SW Pacific)
1907,0,volcán submarino,Historical,True,True,Unnamed (Tonga-SW Pacific)
1928,,Caldera,Historical,True,False,Krakatau (Indonesia)
1940,2,Estratovolcán,Historical,False,False,"Lengai, Ol Doinyo (Africa-E)"
1946,2,Estratovolcán,Historical,False,False,Semeru (Java)
1953,3,Estratovolcán,Historical,False,False,Merapi (Java)
1954,,Estratovolcán,Historical,False,False,Tate-yama (Honshu-Japan)
1961,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1962,3,Estratovolcán,Historical,False,False,Tokachi (Hokkaido-Japan)
1963,3,Estratovolcán,Historical,False,True,Agung (Lesser Sunda Is)
1969,2,Volcán compuesto,Historical,True,False,Didicas (Luzon-N of)
1997,1,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2000,3,Estratovolcán,Historical,False,False,Semeru (Java)
2009,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
2011,,Estratovolcán,Historical,False,False,Merapi (Java)
-1900,6,Estratovolcán,Radiocarbon,False,False,Black Peak (Alaska Peninsula)
1477,6,Estratovolcán,Historical,False,False,Bardarbunga (Iceland-NE)
1597,3,Estratovolcán,Historical,False,False,Raung (Java)
1673,5,Estratovolcán,Historical,True,False,Gamkonora (Halmahera-Indonesia)
1754,4,Estratovolcán,Historical,True,True,Taal (Luzon-Philippines)
1768,4,Estratovolcán,Historical,False,False,Cotopaxi (Ecuador)
1792,2,Volcán complejo,Historical,True,True,Unzen (Kyushu-Japan)
1814,4,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1815,7,Estratovolcán,Historical,True,False,Tambora (Lesser Sunda Is)
1818,4,Estratovolcán,Historical,False,False,Colima (Mexico)
1854,3,Estratovolcán,Historical,True,False,Alaid (Kuril Is)
1863,,Estratovolcán,Historical,True,True,Yasur (Vanuatu-SW Pacific)
1872,4,Estratovolcán,Historical,False,False,Merapi (Java)
1884,,Caldera,Historical,True,False,Krakatau (Indonesia)
1888,3,Estratovolcán,Historical,True,False,Ritter Island (New Guinea-NE of)
1888,4,Estratovolcán,Historical,False,False,Bandai (Honshu-Japan)
1913,2,Estratovolcán,Historical,False,False,Semeru (Java)
1916,4,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
1920,3,Estratovolcán,Historical,False,False,Merapi (Java)
1946,2,Estratovolcán,Historical,False,False,Semeru (Java)
1948,2,Volcán complejo,Historical,False,False,Iliwerung (Lesser Sunda Is)
1950,3,Estratovolcán,Historical,False,False,Camiguin (Mindanao-Philippines)
1950,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1951,,Estratovolcán,Historical,True,True,Cosiguina (Nicaragua)
1956,5,Estratovolcán,Historical,True,False,Bezymianny (Kamchatka)
1958,2,Caldera,Historical,True,False,Kuwae (Vanuatu-SW Pacific)
1967,3,Estratovolcán,Historical,False,False,Semeru (Java)
1974,3,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1979,1,Volcán complejo,Historical,False,False,Dieng Volc Complex (Java)
1984,3,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1988,3,Caldera,Historical,False,False,Banda Api (Banda Sea)
1993,1,Caldera,Historical,False,False,Krakatau (Indonesia)
1996,2,Estratovolcán,Historical,True,False,Karymsky (Kamchatka)
1997,,Estratovolcán,Historical,True,False,Soufriere Hills (W Indies)
2006,2,Estratovolcán,Historical,False,False,Bulusan (Luzon-Philippines)
2007,4,Estratovolcán,Historical,False,False,Manam (New Guinea-NE of)
2007,,Estratovolcán,Historical,False,False,"Tair, Jebel at (Red Sea)"
2011,,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
2012,,Volcán en escudo,Historical,False,False,Tolbachik (Kamchatka)
2018,1,Volcán en escudo,Historical,True,True,Kilauea (Hawaiian Is)
2020,,Estratovolcán,Historical,True,True,Ijen (Java)
-197,3,Volcán en escudo,Historical,True,True,Santorini (Greece)
60,6,Estratovolcán,Radiocarbon,False,False,Bona-Churchill (Alaska-E)
1631,5,Volcán complejo,Historical,True,True,Vesuvius (Italy)
1682,3,Volcán complejo,Historical,False,False,Vesuvius (Italy)
1757,0,Respiradero de fisura,Historical,False,True,San Jorge (Azores)
1812,4,Estratovolcán,Historical,False,False,Soufriere St. Vincent (W Indies)
1827,2,Estratovolcán,Historical,False,False,Avachinsky (Kamchatka)
1846,2,Estratovolcán,Historical,False,False,Tangkubanparahu (Java)
1856,4,Estratovolcán,Historical,False,False,Komaga-take (Hokkaido-Japan)
1883,4,Domo de lava,Historical,True,False,Augustine (Alaska-SW)
1914,4,Estratovolcán,Historical,True,True,Sakura-jima (Kyushu-Japan)
1919,3,Estratovolcán,Historical,True,False,Stromboli (Italy)
1927,1,Estratovolcán,Historical,False,False,Esjufjoll (Iceland-SE)
1944,2,Volcán complejo,Historical,False,False,Vesuvius (Italy)
1949,3,Estratovolcán,Historical,False,False,Camiguin (Mindanao-Philippines)
1953,2,volcán submarino,Holocene,True,False,Myojun Knoll (Izu Is-Japan)
1968,3,Estratovolcán,Historical,False,False,Arenal (Costa Rica)
1972,,Volcán complejo,Radiocarbon,False,False,Hakone (Honshu-Japan)
1981,2,Estratovolcán,Historical,False,False,Alaid (Kuril Is)
1990,,Estratovolcán,Historical,False,False,Kelut (Java)
1997,3,Estratovolcán,Historical,False,False,Soufriere Hills (W Indies)
2002,3,Estratovolcán,Historical,False,False,Semeru (Java)
2006,3,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
-3580,6,Estratovolcán,Historical,False,False,Taal (Luzon-Philippines)
-2040,6,Volcán complejo,Historical,False,False,Long Island (New Guinea-NE of)
653,6,Caldera,Anthropology,False,False,Dakataua (New Britain-SW Pac)
683,6,Escudo piroclástico,Historical,False,False,Rabaul (New Britain-SW Pac)
950,,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1580,3,Respiradero de fisura,Historical,False,False,San Jorge (Azores)
1581,4,Estratovolcán,Historical,False,False,Fuego (Guatemala)
1608,3,Estratovolcán,Historical,True,False,Gamalama (Halmahera-Indonesia)
1625,5,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1660,4,Estratovolcán,Historical,False,False,Teon (Banda Sea)
1773,2,Estratovolcán,Historical,False,False,Gamalama (Halmahera-Indonesia)
1779,2,Volcán complejo,Historical,False,False,Vesuvius (Italy)
1801,2,Estratovolcán,Historical,False,False,Chokai (Honshu-Japan)
1804,3,Caldera,Historical,False,False,Shikotsu (Hokkaido-Japan)
1820,2,Estratovolcán,Historical,True,True,Westdahl (Aleutian Is)
1845,4,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1867,2,Volcán complejo,Historical,False,False,Zao (Honshu-Japan)
